weekStarting,Brand,Sum_sum_sale_liters,Sum_sum_sale_dollars
2012-06-10,Fireball,2631.625,43187.96
2012-06-10,Five,15688.625,99692.5700000001
2012-06-10,Five Star,3150.1,21028.2
2012-06-10,Hawkeye,19005.125,120221.83
2012-06-10,Jack Daniels,6494.425,164425.76
2012-06-10,Jagermeister,3261.25,78145.14
2012-06-10,Jim Beam,5217.325,94526.0000000002
2012-06-10,McCormick,276,1920.39
2012-06-10,Paramount,14966.5,108100.17
2012-06-10,Phillips,7756.875,49297.07
2012-06-10,Seagrams,9573.225,110977.68
2012-06-10,Smirnoff,15258.175,211235.25
2012-06-17,Absolut,6874.85,147124.38
2012-06-17,Admiral Nelson,3889.725,41153.7199999999
2012-06-17,Bacardi,11264.075,153830.81
2012-06-17,Barton,7063.75,42319.56
2012-06-17,Black Velvet,16751.65,162656.26
2012-06-17,Canadian,19030.375,286101.26
2012-06-17,Captain Morgan,25619.8,417698.08
2012-06-17,Crown Royal,8511.275,242565.34
2012-06-17,Fireball,2346.625,37889.73
2012-06-17,Five,16151.85,102734.84
2012-06-17,Five Star,3443.5,23071
2012-06-17,Hawkeye,20713.625,130838.93
2012-06-17,Jack Daniels,5461.2,138226.56
2012-06-17,Jagermeister,3917.5,93447.8
2012-06-17,Jim Beam,3737,67542.5600000001
2012-06-17,McCormick,229.25,1773.81
2012-06-17,Paramount,13807.25,98933.4600000001
2012-06-17,Phillips,7530.125,47968.04
2012-06-17,Seagrams,9110.475,103261.31
2012-06-17,Smirnoff,11636.55,164365.88
2012-06-24,Absolut,10031.075,215575.49
2012-06-24,Admiral Nelson,5059.975,53700.49
2012-06-24,Bacardi,18855.298,253885.85
2012-06-24,Barton,9652.75,57554.34
2012-06-24,Black Velvet,22082.125,212482.96
2012-06-24,Canadian,24073.75,329775.830000001
2012-06-24,Captain Morgan,42817.3,677878.31
2012-06-24,Crown Royal,10021.1,282562.78
2012-06-24,Fireball,4047.625,65294.46
2012-06-24,Five,19357.1,122588.6
2012-06-24,Five Star,3877.975,25844.72
2012-06-24,Hawkeye,33775.5,211878.93
